Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
March 2024	105	A company is building a cloud application that will be used simultaneously across multiple data centers. Which of the following should be part of this application design?	Rapid elasicity	File synchronization	Virtual Desktop Infrastructure	RAID arrays	Non-metered billing	B
March 2024	106	A remote user is visiting their corporate office. They have connected their laptop to the wireless network, but the corporate Internet access is proforming much slower than their remote site network. Which of the following would be the most likely reason for this issue?	The default gateway is incorrect	The laptop has been assigned an APIPA address	The user does not have permission to use the wireless network	There is interference with the wireless signal	N/A	D
April 2024	107	A monitor shows text on the screen even when no video output is active. Which of the following would be the MOST likely reason for this issue?	Non-native resolution	Dead pixels	Incorrect video input	Burn-in	Faulty HDMI cable	D
April 2024	108	Which of the following security features is associated with the Bluetooth pairing process?	Password hash	Fingerprint scan	Encrypted session key	Personal firewall	Personal identification number (PIN)	E
April 2024	109	A company's email server is sending email notifications to all clients. Which of the following firewall ports should be opened to allow these notifications?	tcp/445	tcp/25	tcp/3389	udp/161	tcp/22	B
April 2024	110	The output from a printer is fading due to a used printer ribbon. Which of the following printer types is MOST likely in use?	Inkjet	3D	Thermal	Impact	Laser	D
April 2024	111	An app user notices a new feature has been added since their last login. Which of the following would best describe this model?	PaaS	Hybrid	SaaS	Community	IaaS	C
April 2024	112	A computer made a loud pop and immediately powered off. Which of the following is the most likely reason for this issue?	Fans not spinning	Capacitor failure	SSD disconnected	Windows Stop Error	BIOS failure	B
May 2024	113	A workstation in a warehouse unlocks automatically when an employee stands in front of the console. Which of the following is most likely in use?	NFC	802.11ac	eSATA	VPN	DDR	A
May 2024	114	Which of the following would be assigned if a DHCP server was not available?	169.254.111.74	165.245.224.10	172.16.123.160	127.250.255.171	10.168.127.254	A
May 2024	115	A motherboard provides a connection for additional CPU power. Which of the following would describe this connector?	24-pin	USB-C	Molex	Header	4-pin ATX	E
May 2024	116	A technician is running multiple VMs on a single desktop. Which of the following technologies is in use?	ECC	MOU	VT	RDP	DKIM	C
May 2024	117	There are a number of jobs in a print queue, but the laser printer is not printing any output. Which of the following is most likely the issue 	Fuser	Driver	Separation pads	Spooler	Transfer belt	D
June 2024	118	Which of the following would be assigned if a DHCP server was not available?	169.254.111.74	165.245.224.10	172.16.123.160	127.250.255.171	10.168.127.254	A
June 2024	119	Which of the following would be the most likely use of a DB-9 connect.	Switch Configuration	Windows Installation	Internet Hotspot	Wireless Speakers	iOS charger	A
June 2024	120	A network administrator is configuring an AAAA record on the corporate DNS. Which of the following would describe this record type?	Email Server IP	Configuration Serial Number	List of Valid Email Servers	Alternative name of DNS Server	IPv6 address	E
June 2024	121	After a drive failure, a system administrator has replaced the bad drive in the array and restored from a backup. Which of the following would describe this drive array?	RAID 0+1	RAID 0	RAID 1+0	RAID 5	RAID 1	C
June 2024	122	A company uses a browser-based payroll system, and the service only requires a username and password. Which type of cloud model best describes this system?	PaaS	Community	SaaS	IaaS	Hybrid	C
June 2024	123	Sam, a user in the accounting department, is migrating from Android to iOS. She would like all of her emails, contact lists, and calendar events to be moved to her new phone. Which of the following would be the BEST way to accomplish this task?	Use a Windows-Based Migration tool.	Save the Android Phone data as a CSV file	Connect the new phone to the corporate Microsoft 365 service.	Use a USB-to-Lightning Cable	N/A	C
July 2024	124	A user has confirmed a matching PIN on their mobile phone. Which of the following would be most likely associated with this task?	Update current GPS coordinates	Receive updated list of emails	Send a text message	Connect to a car audio system	Receive an update from the corporate MDM	D
July 2024	125	A firewall is configured to allow udp/67. Which of the following would be the most likely reason for this firewall rule?	Share Windows files	Transfer email messages	Control a remote computer	Lookup a domain name	Configure IP addresses	E
July 2024	126	A technician is using a cleanup card during printer maintenance. Which printer type would be associated with this task?	Laser	Thermal	3D	Inkjet	Impact	B
July 2024	127	A cloudapp is accessible simultaneously from many different data centers. Which of the following characteristics would be most important for this app?	Non-metered	File synchronization	Internal cloud	Desktop as a Service	Rapid elasticity	B
July 2024	128	A system administrator needs a secure method of storing encryption keys. Which of the following would be the BEST choice for this requirement.	BIOS	Secure Boot	NTFS	HSM	N/A	D
August 2024	129	a single drive in a RAID 5 array has failed. which of the following would be the best way to recover from the drive failure	replace all drives and restore from backup	replace the bad drive and synchronize the array	replace all but one drive and synchronize the array	replace the bad drive and restore from backup	replace all drives and synchronize the array	B
August 2024	130	a network administrator has identified an issue with an ethernet router interface. which of the following was used to confirm this problem	cable tester	inductive probe	punch down tool	tone generator	loopback plug	E
August 2024	131	the DHCP process has just completed the request phase. which of the following would be the nest expected step	discover	acknowledge	negotiate	offer	deny	B
August 2024	132	a component includes both an M-key and a B-key. which of the following would be associated with this design	RAM	CPU cooling	TPM	M.2	Video power	D
September 2024	133	A company is planning to purchase and build a cloud infrastructure in their company data center Which of the following would best describe this deployment	Private	SaaS	Hybrid	Community	PasS	A
September 2024	134	A user has opened a ticket complaining of popping noise and black screen on the desktop computer Which of the following would be the most likely cause for this ticket	Missing heat sink	Blown capacitor	Blocked fan	Faulty RAM	Hard drive failure	B
September 2024	135	A user is wirelessly connecting their phone to a rental car when traveling Which of the following would best describe this connection	Hotspot	NFC	Lighting	Bluetooth	USB-C	D
September 2024	136	A company is connecting two locations in the same city over a high speed Ethernet link Which of the following would best describe this network type	WAN	WLAN	LAN	SAN	MAN	E
October 2024	137	A ticket describes a problem with an ADF. Which of the following would be the most likely issue?	Network switching	Display setting	Flatbed scanning	Wireless keyboard	Load balancing	C
October 2024	138	After a budget increases, a company has decided to increase the amount of data stored on a cloud server. Which of the following would best describe this decision?	High availability	Rapid elasticity	Metered service	File synchronization	Virtual desktop infrastructure	B
October 2024	139	A technician has received a report from a NAS showing an increase in the seek error rate values. Which of the following would be the most likely source of this information?	UEFI BIOS	S.M.A.R.T.	Multichannel RAM	SNMP console	Access point	B
October 2024	140	A company is installing a new MDM. Which of the following would be the most likely use of this installation?	Backup SAN drives	Monitor Internet bandwidth	Securely store server certificates	Install phone apps	Print 3D objects	D
October 2024	141	A user is authentication to a VPN concentrator. Which of the following would be used to validate this user's credentials	tcp/3389	udp/161	tcp/25	tcp/443	tcp/389	D
November 2024	142	A Server has crashed due to an memory error it identified but was unable to correct it. Which of the following would best describe the memory in this system?	Parity	DDR5	Solid state	Multi-channeled	ECC	A
November 2024	143	A company uses a cloud service to maintain data across multiple sites, and they pay a fixed price each month for this service. Which of the following would best describe this billing model?	File synchronization	High availability	Non-metered	Hybrid	Rapid elasticity	C
November 2024	144	Which of the following mobile device technogies use a wireless connection to transfer data?	DB-9	USB-C	VGA	NFC	Lightning	D
November 2024	145	A help desk ticket describes the end user receiving an APIPA address during startup. Which of the following could be assigned to the user's device?	10.1.10.1	192.168.168.192	169.254.254.255	172.16.127.61	127.0.0.127	C
November 2024	146	A system administrator would like to gather ongoing performance statistics from an Linux database server. Which of the following would be the best choice for the task?	Batch file	Python	Javascript	VBScript	Powershell	B
PM A 6	147	The printer in the accounting department has stopped all printing processes. The print queue shows seven jobs in the queue waiting to be printed. Which of the following would be the BEST next troubleshooting step?	Send a test job to the printer and move it to the top of the queue	Restart the printer's spooler	Install an updated version of the printer driver	Delete everything in the queue and resend the print jobs	N/A	B
PM A 7	148	A system administrator has connected an external USB drive to a computer to transfer some documents. When booting the computer, the system tries to boot from the external drive and gives an error message. Which of the following would be the BEST way to prevent the USB drive from booting?	Modify the BIOS to boot from the internal hard drive	Modify the boot order in Windows Disk Management	Rebuild the MBR on the external hard drive	Disable the external drive in Device Manager	N/A	A
PM A 8	149	A user's print jobs to a new multifunction printer produce pages of garbled text, but jobs from other users are printing normally. Which of the following would be the MOST likely reason for this issue?	Printer driver specifies secured prints	Faulty network cable	Print driver is configured for PCL	Application is not authorized to print	N/A	C
PM A 9	150	A network connection in a conference room was installed years ago, and there s no documentation for the cable run. Connecting a device to the cable results in a successful Ethernet connection, so the other end of the cable should terminate somewhere in the wiring closet. Which of these tools would be the best choice to find the other end of the network connection?	Cable tester	Tone generator Answer: 31	Multimeter	Crimper	N/A	B
PM A 10	151	A network administrator has received a ticket complaining of port flapping on an Ethernet switch. Which of the following would be the MOST likely reason for this issue?	Firewall rule is blocking traffic	Faulty crimp on an Ethernet connector	Excessive jitter measurements	Duplex mismatch	N/A	B
PM A 11	152	A user has powered on their computer and received the message "Operating system not found."  A check of the system shows that the SATA drive cables are properly connected. Which of the following would be the NEXT best troubleshooting step?	Boot to Safe Mode	Replace the boot drive	Restore from a known good backup	Check for removable drives	N/A	D
PM A 12	153	A user is having an issue with a smartphone battery bulging and physically pushing the screen away from the phone. The rest of the phone appears to be operating normally. Which of the following should be the BEST next troubleshooting step?	Power off the phone and contact support	Upgrade to the latest OS version	Replace the screen	Perform a factory reset	N/A	A
PM A 13	154	A client s laptop appears to boot normally, but nothing ever appears on the LCD. After closer inspection, you notice the output is visible but it's too faint to clearly see anything. What is the MOST likely cause of this issue?	Video card	Inverter	Video driver	Power adapter	N/A	B
PM A 14	155	A graphics designer is experiencing increasing delays when accessing files on her hard drive. The user maintains a daily backup of all data on the drive. Which of these would be the BEST next troubleshooting step for this issue?	Reinstall Windows	Perform a hard drive diagnostic	Restore from the daily backup	Boot to Safe Mode	N/A	B
PM A 15	156	Which of the following would be MOST likely found on an optical disc?	Document archive	Operating system boot files	RAID parity files	BIOS configurations	N/A	A
PM A 16	157	When a user starts their computer, the screen remains blank and the computer beeps twice. Which of these would be the MOST likely cause of this issue?	The boot device is not connected	The memory is faulty	The operating system has become corrupted	The PC is infected with malware	N/A	B
PM A 17	158	A firewall is configured to block email transfers from a remote server. Which of the following ports is the firewall blocking?	443	22	23	25	N/A	D
PM A 18	159	A technician is connecting a laptop to an LCD projector in a conference room. The display on the laptop works properly, but the projector image is constantly flickering and pixelating. The technician has modified the resolution and refresh rates, but the projector image continues to flicker. Which of the following would be the BEST next troubleshooting step?	Replace the video cable	Disable the laptop display	Replace the projector bulb	Power cycle the projector	N/A	A
PM A 19	160	The stylus on a Windows tablet will no longer interact with the user interface. Which of these would be the MOST likely cause of this issue?	Digitizer	Backlight	Contrast	Inverter	N/A	A
PM A 20	161	A user in the accounting department needs to print a form on the laser printer on both sides of the page. Which of the following options should be configured in the accounting software?	Collate	Orientation	Duplex	Resolution	N/A	C
PM A 21	162	A user needs to connect their laptop to the wired Ethernet network, but the laptop does not have an integrated Ethernet interface. Which of the following would allow the laptop to connect to an Ethernet network?	Bluetooth	VGA interface	USB to Ethernet adapter	DisplayPort to HDMI cable	DVI to HDMI adapter	C
PM A 22	163	A server administrator has received an alert showing one drive in a RAID 1 array has failed. Which of the following would be the best way to resolve this alert?	Replace the bad drive and resync the array	Replace all drives in the array and resync the array	Replace the bad drive and restore from backup	Convert the array to RAID 0 and replace the drive	Replace all drives in the array and restore from backup	A
PM A 23	164	A system administrator is building a server for a data center in another country. The server will manage a print queue and provide a local storage partition for temporary file transfers. Which of the following power supply specifications will be the MOST important for this server?	Voltage input options	Number of PCIe connectors	Modular cabling	Fan noise rating	N/A	A
PM A 24	165	Which of the following ports is used for file transfers?	21	110	25	23	N/A	A
PM A 25	166	Which of these technologies do not require a backlight to provide a viewable display?	LCD	IPS	OLED	LED	N/A	C
PM A 26	167	A system administrator has tripped over an Ethernet cable and the cable s RJ45 connector has broken. Which of the following should be used to resolve this issue?	Punch-down tool	Tone generator and probe	Cable tester	Crimper	N/A	D
